Observaciones_del_Encuestador,count
Ninguna.,47
Ninguna,21
NINGUNA,20
ESPERO UNA PRONTA SOLUCION,17
ESPERO ME DEN UNA PRONTA SOLUCION,6
BUENA ATENCION EN EL PUNTO,6
MUCHA DEMORA EN LA ATENCION AL USUARIO,3
Buen servicio.,3
ESPERO ME SEA RESUELTA CON PRONTITUD MI PETICION,2
ESPERO ME SEA SOLUCIONADO CON PRONTITUD MI PETICION,2
Ninguno.,2
ME DIERON LA INFORMACION SOLICITADA,2
ESPERO UNA PRONTA RESPUESTA,2
ESPERO ME DEN UNA PRONTA SOLUCION YA QUE SOY UNA PERSONA DE LA TERCERA EDAD YA QUE CUIDO 5 NIÑOS,1
NO SE COMO ESTAN HACIENDO LAS MEDICIONES A OJO NO AY DE OTRA CON ESOS COBROS TAN ALTOS E INJUSTOS SON UNOS LADRONES ABUSIVOS,1
VENGO A SOLICITAR COPIA DE DOS ULTIMAS FACTURAS,1
ESPERO  ME DEN UNA PRONTA SOLUCION,1
NO ESTOY DE ACUERDO CON ESTAS EMPRESAS TAN LADRONAS DE ESTAR QUITANDO CONTADORES PARA QUE UNO PAGUE Y PAGUE SON UNOS ABUSIVOS,1
EL FUNCIONARIO JOSE SE PORTO MUY GROSERO CON LOS ABUELITOS DEL PREDIO QUE INJUSTO NO SABER RESPETAR,1
ESPERO UNA PRONTA SOLUCION YA QUE EL COBRO ES UN ROBO DE LA NADA,1
